,city,position,salary_raw,skills,experience_raw,education_raw,job_type,headcount,company_address,updated_date,salary_avg,salary_outlier_flag,education_clean,experience_years,company_id
437,北京,强化学习算法工程师,2-4万,"['机械臂', '机器人']",1-3年,硕士,全职,1,北京·海淀·上地,2024/11/27,30000.0,0,硕士,2.0,30843
438,北京,技术研发工程师,1.6-3万,"['Java', 'Python']",3-5年,本科,全职,2,北京·海淀·西北旺,2025/3/17,23000.0,0,本科,4.0,30743
439,北京,千亿机遇人工智能产品总监经理启事,2-3.5万,[],1-3年,本科,全职,1,北京·顺义·空港,2025/3/6,27500.0,0,本科,2.0,30910
440,北京,后端工程师-人工智能事业部(J11421),1.6-3万,"['C#', '.NET Core']",1-3年,本科,全职,999,北京·丰台·丰台街道,2025/3/18,23000.0,0,本科,2.0,30780
441,北京,AI写作工程师,6000-12000元,['语义分析'],1-3年,本科,全职,1,北京·房山·拱辰,2025/3/18,9000.0,0,本科,2.0,30911
442,北京,生产计划调度工程师-人工智能事业部(J11425),1.2-2.4万,"['生产物料管理', '成本管理', '钢铁冶金']",5-10年,硕士,全职,999,北京·丰台·丰台街道,2025/3/18,18000.0,0,硕士,7.5,30780
443,北京,外贸业务员,1-1.5万,"['英语', '阿里巴巴国际站', 'WhatsApp', 'Twitter', 'Facebook', '通信/网络设备']",1-3年,大专,全职,1,北京·朝阳·崔各庄,2025/2/10,12500.0,0,大专,2.0,30912
444,北京,ai研发工程师,1.5-2万,[],3-5年,本科,全职,1,北京·西城·德胜,2024/11/20,17500.0,0,本科,4.0,30913
445,北京,（校招）前端工程师-人工智能事业部(J11428),8000-16000元·16薪,"['JavaScript', 'HTML5']",1年以下,本科,全职,999,北京·丰台·丰台街道,2025/3/18,12000.0,0,本科,,30780
446,北京,大客户业务经理（人工智能、新能源、汽车、医疗）,1-2万,"['新能源检测', '汽车检测', '咨询培训']",5-10年,大专,全职,5,北京·大兴·博兴,2024/7/18,15000.0,0,大专,7.5,30914
447,北京,人工智能检测260一天,7000-8000元·13薪,"['电子检测', '通信检测', '性能检测']",经验不限,学历不限,全职,10,北京·大兴·荣华街道,2024/12/11,7500.0,0,学历不限,,30915
448,北京,AI Agent算法工程师（初、中、高级）(J10675),2-4万,"['深度学习', '机器学习', '多模态算法', '自然语言处理', '知识图谱', 'PROMPT', 'AGENT', 'RAG', 'Python', 'Java']",3-5年,本科,全职,5,北京·丰台·看丹,2025/3/5,30000.0,0,本科,4.0,30916
449,北京,AI算法工程师/七险一金,2.5-4万,[],3-5年,硕士,全职,2,北京·海淀·花园路,2025/3/25,32500.0,0,硕士,4.0,30917
450,北京,人工智能数据采集质检 周结160/天 应届实习生,3000-6000元,"['双休', '早十晚七']",1年以下,大专,全职,99,北京·通州·台湖,2025/3/31,4500.0,0,大专,,30879
451,北京,智能客服算法工程师,2.5-3万·14薪,[],经验不限,博士,全职,1,北京·西城·德胜,2025/2/10,27500.0,0,博士,,30918
452,北京,深度学习开发工程师（视觉方向）,1.2-2万,"['深度学习', 'Python', '模型落地应用']",3-5年,本科,全职,1,北京·石景山·古城,2024/11/19,16000.0,0,本科,4.0,30919
453,北京,语言训练模型专家,2.4-2.5万,"['文本分析', '篇章分析', '语义分析']",3-5年,硕士,全职,1,北京·朝阳·双井,2025/2/18,24500.0,0,硕士,4.0,30671
454,北京,AI算法工程师/七险一金,2-4万,[],1-3年,硕士,全职,2,北京·海淀·花园路,2025/3/25,30000.0,0,硕士,2.0,30917
455,北京,智算项目经理,2-2.5万·15薪,"['云计算实施', '项目交付']",5-10年,本科,全职,1,北京·朝阳·东湖,2024/6/29,22500.0,0,本科,7.5,30804
456,北京,大模型应用工程师,9000-14000元,['大模型算法'],经验不限,本科,全职,1,北京·海淀·上地,2024/12/18,11500.0,0,本科,,30748
457,北京,AI架构师,2.5-4万,['Java'],5-10年,硕士,全职,1,北京·海淀·西三旗,2025/3/19,32500.0,0,硕士,7.5,30920
458,北京,加密流量分析工程师,1.8-2.5万,"['网络流量', '加密解密']",1-3年,本科,全职,1,北京·朝阳·麦子店,2024/6/28,21500.0,0,本科,2.0,30921
459,北京,机器学习算法工程师,1.8-2.5万,"['大模型算法', '自然语言处理', '聚类算法', '分类回归', '贝叶斯']",3-5年,硕士,全职,1,北京·朝阳·奥运村,2025/3/5,21500.0,0,硕士,4.0,30841
460,北京,AI Software Engineer,2.5-5万·14薪,[],经验不限,硕士,全职,1,北京·海淀·海淀街道,2025/1/2,37500.0,0,硕士,,30890
461,北京,销售顾问,1.1-2万,"['企业客户', '政府客户', '渠道销售', '代理商销售', '军方客户']",3-5年,本科,全职,5,北京·朝阳·亚运村,2024/9/26,15500.0,0,本科,4.0,30922
462,北京,产品经理（偏软件产品设计&项目管理）,2.2-4万,"['智能机器人', '嵌入式项目', 'PMP证书', 'PC端产品', 'Web端', 'AXURE PR', 'PRD和流程图', 'XD/SKETCH']",5-10年,本科,全职,1,北京·朝阳·小关,2025/2/10,31000.0,0,本科,7.5,30884
463,北京,项目助理（财务）,1.3-1.8万·13薪,[],3-5年,本科,全职,1,北京,2025/3/26,15500.0,0,本科,4.0,30658
464,北京,Prompt工程师,1.8-2.5万,"['自动问答', '聊天机器人', '主题模型']",1-3年,本科,全职,1,北京·海淀·清华园,2025/4/1,21500.0,0,本科,2.0,30923
465,北京,算法工程师,3-4.5万·15薪,"['深度学习', '大模型算法']",经验不限,博士,全职,2,北京·海淀·马连洼,2024/10/9,37500.0,0,博士,,30721
466,北京,售前工程师,1.5-3万,"['软件产品', '政府项目']",3-5年,本科,全职,1,北京·海淀·中关村,2024/12/5,22500.0,0,本科,4.0,30693
467,北京,运筹优化算法专家,2.8-5.5万,"['深度学习', '机器学习', 'K-means算法', '随机森林', '线性回归', 'Transformer']",5-10年,本科,全职,1,北京·西城·月坛,2025/2/13,41500.0,1,本科,7.5,30924
468,北京,语音交互算法工程师,1.5-3万,"['深度学习', '语音识别', 'Transformer', 'PyTorch', 'TensorFlow', 'Python', 'C++']",5-10年,本科,全职,1,北京·丰台·看丹,2025/3/11,22500.0,0,本科,7.5,30925
469,北京,整体解决方案工程师,1.2-2万·13薪,"['数字化产品', '智慧产品', '安防产品', '智慧电力', '数字孪生产品']",5-10年,本科,全职,2,北京·西城·德胜,2025/3/12,16000.0,0,本科,7.5,30926
470,北京,大模型算法工程师,4-8万·14薪,['大模型'],经验不限,硕士,全职,1,北京·朝阳·望京,2025/1/17,60000.0,1,硕士,,30772
471,北京,算法工程师,1.7-2.5万,"['大模型', '大模型微调', '视觉算法', '智能问答', '多模态算法', '大模型算法']",3-5年,本科,全职,1,北京·西城·广安门外,2025/3/12,21000.0,0,本科,4.0,30927
472,北京,算法工程师,1.5-3万,[],无经验,本科,全职,1,北京·海淀·曙光,2025/3/8,22500.0,0,本科,0.0,30708
